ID,Total_Clients,Text_Clients,Image_Clients,Config,Avg_Response_Time
1,40,0,40,0,16.337403598971722
2,40,10,30,16,35.99458771092009
3,40,20,20,38,170.3555900621118
4,40,30,10,38,109.03508771929825
5,40,40,0,32,1279.1571428571428
6,50,0,50,17,22.38696674504535
7,50,15,35,16,48.859882964889465
8,50,25,25,15,1049.5978947368421
9,50,35,15,28,5.916883116883117
10,50,50,0,26,66.14113475177305
11,60,0,60,5,13409.735294117647
12,60,15,45,3,68.6665559614746
13,60,30,30,6,4.707477820025349
14,60,45,15,23,5.767151767151767
15,60,60,0,0,24.209792122538293
16,70,0,70,9,1754.8
17,70,20,50,26,202.2348367029549
18,70,35,35,38,135.160809371672
19,70,50,20,24,4.942667322834645
20,70,70,0,18,44.397054886211514
21,80,0,80,5,16426.338028169015
22,80,20,60,16,39.03468780971259
23,80,40,40,24,4.834617127322157
24,80,60,20,28,6.4382076608046255
25,80,80,0,5,989.0842237586423
26,90,0,90,29,6.057155921353452
27,90,25,65,15,918.117136659436
28,90,45,45,23,5.778958554729011
29,90,65,25,29,7.270833333333333
30,90,90,0,39,61.83671346853874
31,100,0,100,25,5.208063820612333
32,100,25,75,41,204.19235511713933
33,100,40,60,9,172.6158536585366
34,100,60,40,39,100.54831625183016
35,100,75,25,25,5.390466101694916
36,100,100,0,1,7.292386436340371
