ID,Total_Clients,Text_Clients,Image_Clients,Config,Avg_Response_Time
1,40,0,40,0,14.071649166151946
2,40,10,30,6,3.9435399159663866
3,40,20,20,21,5.614333434558153
4,40,30,10,41,105.27630180658873
5,40,40,0,6,5.150105073551486
6,50,0,50,40,1778.987012987013
7,50,15,35,6,4.874174087905774
8,50,25,25,41,158.9006993006993
9,50,35,15,6,4.633398383049903
10,50,50,0,13,23.76314235085647
11,60,0,60,41,1726.2643678160919
12,60,15,45,6,4.804228660924041
13,60,30,30,16,44.55271210013908
14,60,45,15,6,4.715086646279307
15,60,60,0,41,66.59353970390309
16,70,0,70,23,5.998746867167919
17,70,20,50,32,993.6544715447154
18,70,35,35,21,6.197439684884293
19,70,50,20,36,1018.1740858505565
20,70,70,0,0,27.550321825629023
21,80,0,80,3,184.6401192504259
22,80,20,60,22,4.586864876858221
23,80,40,40,16,41.23407960199005
24,80,60,20,6,5.08720531013962
25,80,80,0,23,6.034338747099768
26,90,0,90,27,5.932713590084108
27,90,25,65,16,40.302689037002985
28,90,45,45,6,4.740268028079132
29,90,65,25,0,26.01030701754386
30,90,90,0,3,19.465974136103455
31,100,0,100,22,4.855827578991421
32,100,25,75,32,1102.015873015873
33,100,40,60,0,24.219169048142447
34,100,60,40,3,47.53230843141965
35,100,75,25,22,4.769808173477898
36,100,100,0,40,63.55607720396453
